,title_1,address,school_district,action,index
312,Seneca Highlands Intermediate Unit 9,"119 S Mechanic St • Smethport, PA 16749",,school_district,668
313,Benjamin Banneker Preparatory Charter,"1900 Mount Holly Road 3C Burlington, NJ 08016",,drop,681
314,Wauconda CUSD 118 IL,"555 N Main Street | Wauconda, IL 60084",,school_district,682
315,Broome-Tioga BOCES,"435 Glenwood Road | Binghamton, New York | 13905 | Ph: 607-766-3802 Fx: 607-763-3691",,school_district,683
316,Bridgman Public Schools,,,school_district,686
317,Manchester Community Schools,"404 West Ninth St, N Manchester, IN 46962",,school_district,688
318,Berks Career & Technology Center,,,school_district,693
319,Pioneer Library System,"300 Norman Center Court  | Norman, OK 73072 | 405.801.4500",,drop,697
320,Franklin Square Union Free School,760 Washington Street | Franklin Square NY 11010 | 516-481-4100 | f 516-505-6972,,drop,702
321,Canal Winchester Local Schools,"100 Washington Street | Canal Winchester, OH 43110  | Tel: (614) 837-4533  |  Fax: (614) 833-2165",,school_district,703
322,Rockingham County Schools,"Rockingham County Schools | 511 Harrington Highway | Eden, NC 27288 | 336.627.2600",,school_district,704
323,Brown County Educational Service Center,"9231 Hamer Road | Georgetown, OH 45121 | 937-378-6118",,school_district,707
324,Educating for Life's Journey,,DELAWARE VALLEY SCHOOL DISTRICT,school_district,713
325,Brandywine Community Schools,,,school_district,715
326,West Hills Community College District,"275 Phelps Avenue | Coalinga, CA 93210 | 559-934-2180",,school_district,717
327,Northampton County Virginia,"PO Box 66 | Eastville, VA 23347 | 757.678.0440 |f 757.678.0483",,school_district,721
328,Metropolitan Community College,"3200 Broadway | Kansas City, MO 64111 | 816.604.1000",,school_district,724
329,Campbell City Schools,,,school_district,727
330,City of Sault Ste Marie Michigan,"225 East Portage Avenue, Sault Ste Marie, MI 49783 | 906-632-5715",,drop,728
331,Saint Martin Parish Schools,"600 Corporate Boulevard | Breaux Bridge, La 70517 | 337-332-2105",,school_district,729
332,Jackson County Schools,"1 School Street, Ripley, WV 25271 |(304) 372-7300",,school_district,730
333,Beal City Public Schools,,,school_district,732
334,Arizona State Schools for the Deaf and the Blind,"1200 W. Speedway Blvd. | Tucson, AZ 85745 | p 520.770.3362 | f 520.770.3711",,school_district,733
335,Schuylkill Intermediate Unit 29,,,school_district,735
336,Osnaburg Local Schools,"310 Browning Street, East Canton, Ohio 44730",,school_district,736
337,Lawrence USD 497,"110 McDonald Drive, Lawrence, KS 66044 | 785-832-5000",,school_district,740
338,Career Institute of Technology,"5335 Kesslersville Road, Easton, PA 18040 | Phone 610.258.2857",,school_district,741
339,Danville Public Schools,"341 Main Street, Suite 100 | Danville, VA 24541 | 434.799.6400",,school_district,743
340,McPherson USD 418,"514 North Main | McPherson, KS 67460 | 620-241-9400 | f 620-241-9410",,school_district,746
341,Bristol Virginia Public Schools,"280 Lee Street | Bristol, VA 24201 | Ph: 276-821-5600 Fx: 276-821-5601",,school_district,748
342,East Muskingum Local Schools,,,school_district,751
343,Collingswood Public Schools,"100 Lees Ave | Collingswood, NJ 08108 | 856-962-5702 | 856-962-5723 fax",,school_district,752
344,Tuscarawas Valley Local Schools,"2637 Tusky Valley Road NE, Zoarville, Ohio 44656",,school_district,754
345,Belleville Public Schools,"56 Ralph St | Belleville, NJ 07109 | 973-450-3500",,school_district,758
346,Edwardsburg Public Schools,,,school_district,760
347,Gahanna-Jefferson Public Schools,"630 Morrison Road, Suite 200 Gahanna, OH  43230",,school_district,761
348,Greeneview Local Schools,"4 South Charleston Road, Jamestown, OH 45335",,school_district,763
349,Wyoming State Board of Education,"122 W. 25th St. Suite E200 Cheyenne, WY 82002 | (307) 777-6213",,school_district,766
350,Hancock Public Schools,,,school_district,773
351,TrueNorth Educational Cooperative 804,"760 Red Oak Lane Highland Park, Illinois 60035-3899 | 1.847.831.5100",,school_district,775
352,Jamestown Public Schools NY,"197 Martin Road, Jamestown, NY 14701 | 716-483-4350",,school_district,778
353,Stanley-Boyd Area Schools,,,school_district,784
354,West Side Career and Technology Center,,,school_district,786
355,Northwest Local Schools,"2309 Locust Street South | Canal Fulton, OH 44614 | 330-854-2291",,school_district,788
356,Invest Atlanta,"133 Peachtree Street, Suite 2900 | Atlanta, GA 30303 | p 404.880.4100 | f 404.880.9333",,drop,789
357,Town of Topsfield MA,"8 West Common Street, Topsfield MA 01983",,drop,790
358,Home of the Panthers,"405 East Hamlin Street, West Salem, WI 54669 - Phone 608-786-0700",,drop,791
359,Milan Community School Corporation,,,school_district,793
360,IASD,,,school_district,794
361,Essex County Public Schools,"P.O. Box 756, 109 Cross Street, Tappahannock, VA | 22560 | Phone 804-443-4366",,school_district,795
362,Jones County Public Schools,,,school_district,798
363,Huntley Project Schools,"1477 Ash St. | Worden, MT 59088  |(406) 967-2540 | f (406) 967-3059",,school_district,801
364,Cabell County Schools,"2850 5th Avenue, Huntington, WV 25702 | 304.528.5000",,school_district,806
365,Ohio Housing Finance Agency,"2600 Corporate Exchange Drive, Suite 300, Columbus, OH 43231  Toll Free 888.362.6432  Fax 614.644.5393",,drop,809
366,Parkway Local Schools,,,school_district,811
367,Hartnell Community College District,"411 Central Avenue |  Salinas, CA 93901 | (831) 755-6700",,school_district,812
368,Huber Heights City Schools,"5954 Longford Rd | Huber Heights, OH 45424 |937-237-6300",,school_district,814
369,Rye Neck Board of Education,"310 Hornidge Road Mamaroneck, NY 10543  	914-777-5200",,school_district,817
370,White Plains Public Schools,"5 HOMESIDE LANE WHITE PLAINS, NY 10605 | 914-422-2000",,school_district,818
371,Gallia County Local Schools,"4836 State Route 325 Patriot, Ohio 45658 | 740-379-9085",,school_district,819
372,Sycamore Community Schools,"5959 Hagewa Drive  Cincinnati, OH 45242",,school_district,821
373,Floyd County Public Schools,"140 Harris Hart Rd NE | Floyd, VA 24091 | 540-745-9400 | f 540-745-9496",,school_district,824
374,Lima City Schools,,,school_district,827
375,Randolph County Schools,"40 Eleventh Street | Elkins, WV 26241 | (304) 636-9150 | (304) 636-9157 f",,school_district,828
376,North Adams Community Schools,,,school_district,829
377,Bristol Tennessee City Schools,"615 Martin Luther King Jr. Blvd. | Bristol, Tennessee 37620 | (423) 652-9451",,school_district,830
378,Franklin County Public Schools,"25 Bernard Rd. | Rocky Mount, VA 24151 | Phone: (540) 483-5138",,school_district,833
379,Kairos Public Schools,"129 Elm St.  Vacaville, CA 95688",,school_district,834
380,"The Joseph Sears School, Distr","542 Abbotsford Road Kenilworth, IL 60043",,school_district,839
381,Yorkshire-Pioneer CSD,"12145 County Line Rd Yorkshire, New York NY 14173 | 716-492-9300",,school_district,840
382,"Silver Spring Township, Pennsylvania","8 Flowers Drive Mechanicsburg, PA 17050 Ph: 717-766-0178 FX: 717-766-1696",,drop,843
383,SunBridge Schools,"2729 124th St. Toledo, OH 43611",,school_district,844
384,Home of the Mighty Massasaugas,100 Sioux Avenue] P. O. Box 876] Pointe aux Pins MI 49775]Phone 231-634-7225,,drop,845
385,Portage Township Schools,,,school_district,848
386,San Mateo County Office of Education,,,school_district,850
387,Metro Schools,"1929 Kenny Road | Columbus OH, 43210 | Ph: 614-259-6639 | Fx: 614-594-7176",,school_district,851
388,Bristol Local SD,,,school_district,854
389,Neola Board of Education Policies,,Moran Township School District,school_district,858
390,Oakland Academy,"6325 Oakland Drive, Portage, MI 49024",,drop,860
391,Bay-Arenac ISD,,,school_district,861
392,Chief Leschi Schools,"5625 52nd St E | Puyallup, WA 98371 | 253.445.6000",,school_district,862
393,Temecula International Academy,"39600 N General Kearny Rd, Temecula, CA 92591 | 951-816-5506",,drop,863
394,Hardee County Public Schools,"1009 N. 6th Ave. Wauchula, FL 33873",,school_district,866
395,James A. Garfield Local Schools,,,school_district,867
396,North Canton City Schools,"525 7th St NE | North Canton, OH 44720 | P 330.497.5600 | F 330.497.5618",,school_district,873
397,Van Wert City Schools,,,school_district,884
398,Merrill Community Schools,,,school_district,885
399,Clinton-Massie Local Schools,"2556 Lebanon Rd. | Clarksville, OH 45113 | p (937) 289-2471 | f (937) 289-3313",,school_district,886
400,Columbus Grove Local Schools,,,school_district,890
401,Harriet Tubman Village Charter School,"6880 Mohawk Street, San Diego, CA 92115",,drop,892
402,Montcalm Area ISD,,,school_district,895
403,Muncie Community Schools,"4301 S. Cowan Rd, Muncie, IN 47302",,school_district,898
404,Southern Westchester BOCES,"17 Berkley Drive Rye Brook, NY 10573 | 914.937.3820",,school_district,900
405,Universal Academy,"4833 Ogden St, Detroit, MI 48210 Phone: (313) 581-5006",,drop,902
406,Canfield Local Schools,,,school_district,903
407,Cincinnati & Hamilton County Public Library,"800 Vine Street | Cincinnati, OH 45202-2009 | 513-369-6900",,drop,905
408,Eagle County Schools,"948 Chambers Ave., PO Box 740 Eagle, CO 81631 | 970 328-6321 | 970 328-1024 f",,school_district,908
409,Pennfield Schools,"8587 Pennfield Rd | Battle Creek, Michigan 49017 | 269-961-9781",,school_district,912
410,South Harrison Community School Corporation,,,school_district,915
411,Mason County Eastern Schools,,,school_district,917
412,Western Piedmont Community College,"1001 Burkemont Avenue, Morganton, NC 28655",,school_district,920
413,Galloway Township Public Schools,"101 South Reeds Road, Galloway, NJ 08205",,school_district,921
414,Lane Community College,"4000 East 30th Ave., Eugene, Oregon 97405 | (541) 463-3000",,school_district,922
415,Youngstown Community School,,,school_district,923
416,Brown City Community Schools,,,school_district,925
417,"Redlands Christian Migrant Association, Inc. (RCMA)","402 West Main Street | Immokalee, FL 34142-3933 | p (800) 282-6540  | f (239) 658-3571",,drop,926
418,Steel Center for Career and Technical Education,,,school_district,928
419,Landmark Academy,"4864 Lapeer Rd., Kimball, MI 48074 Phone: 810-982-7210",,drop,932
420,Benjamin Logan Local Schools,,,school_district,933
421,Bossier Parish Schools,"PO Box 2000/410 Sibley | Benton, LA 71006-2000 | 318-549-5000",,school_district,934
422,Troy City Schools,"500 N. Market St., Troy, OH 45373 937-332-6700",,school_district,936
423,Washington County JVS District,"21740 State Route 676 |  Marietta, Ohio  45750 | Phone: 740-373-2766 | Fax: 740-373-9026",,school_district,938
424,Vermilion Local Schools,"1250 Sanford Street Suite A, Vermilion, OH, 44089  |  440-204-1721",,school_district,939
425,Galax City Public Schools,"223 Long Street Galax, Virginia 24333 | 276.236.2911",,school_district,942
426,Amelia County Public Schools,"8701 Otterburn Road | Suite 101 | Amelia, Virginia 23002 | 804-561-2621",,school_district,943
427,Griffith Public Schools,"602 N Raymond | Griffith, IN 46319 | 219.924.4250",,school_district,946
428,Easton USD 449,"32502 Easton Rd | Easton, Kansas 66020 | p 913-651-9740 | f 913-324-5237",,school_district,953
429,WESTMINSTER PUBLIC SCHOOLS,"6933 Raleigh Street l Westminster, CO 80030 l Tel: 303.428.3511",,school_district,954
430,Eminence Community School Corporation,,,school_district,956
431,Texas Alcoholic Beverage Commission,"5806 Mesa Drive, Austin, Texas 78731 | 512-206-3333",,drop,963
432,Contra Costa Community College District,"500 Court Street | Martinez CA, 94553 | 925.229.1000",,school_district,965
433,Global Tech Academy,"1715 E Forest Ave, Ypsilanti, MI 48198 Phone: (734) 390-9625",,school_district,966
434,Ecorse Public Schools,"27225 West Outer Drive | Ecorse, MI 48229 | 313-294-4750 | f 313-294-4769",,school_district,967
435,Hartford Public Schools,"330 Wethersfield Avenue, Hartford, CT 06114 | (860) 695-8000",,school_district,968
436,Henry County Public Schools,"3300 Kings Mountain Road | Collinsville, VA 24078 | PH 276-634-4700 - FAX 276-638-2925",,school_district,969
437,Edon Northwest Local Schools,"802 West Indiana Street | Edon, OH 43518 | 419.272.3213",,school_district,974
438,"City of Worland, Wyoming","829 Big Horn Avenue | Worland, Wyoming 82401 | 307-347-2486 } f 307-347-2480",,drop,975
439,Eaton Regional Education Service Agency,,,school_district,976
440,Elkton-Pigeon-Bay Port Laker Schools,,,school_district,979
441,Manassas Park City Schools,"100 Park Central Plaza | Suite 300 | Manassas Park, VA 20111 | 703-335-8850",,school_district,980
442,Bradford Academy,"24218 Garner Street, Southfield, MI 48033 Phone: (248) 351-0000",,drop,981
443,Rockford Public Schools,,,school_district,982
444,Plaquemines Parish School System,"557 F. Edward Hebert Blvd.| Belle Chasse, LA 70037-4108 | Phone: (504) 595-6400",,school_district,983
445,Byron Area Schools,,,school_district,985
446,San Diego Community College District,"3375 Camino Del Rio South, San Diego, California 92108 | (619) 388-6957",,school_district,986
447,Pittsburgh Public Schools,"341 S. Bellefield Ave | Pittsburgh, PA 15213 | District Office: (412) 529-HELP",,school_district,989
448,USD 210 Board of Education,529 S. Main Street | Hugoton KS 67951 | 620-544-4397,,school_district,994
449,Rockford Public Schools,"501 7th Street | Rockford, IL 61104 | 815-966-3000",,school_district,995
450,Northwest Indiana Special Education Cooperative,,,school_district,999
451,Portsmouth Public Schools,"801 Crawford Street, Portsmouth, VA 23704 | Phone: 757-393-8751",,school_district,1003
452,"City of Kingfisher, Oklahoma","301 North Main Street | Kingfisher, Oklahoma 73750 | (405) 375-3705",,drop,1005
453,Orchard View Schools,,,school_district,1006
454,Central Academy,"2459 S. Industrial Highway, Ann Arbor, MI 48104 Phone: (734) 822-1100",,drop,1007
455,Lansing USD 469,"200 E. Mary| Lansing, KS 66043 | Ph: (913) 727-1100 | Fx: (913) 727-1619",,school_district,1009
456,North Gibson School Corporation,"1104 N. Embree St. Princeton, IN 47670 | 812-385-4851",,school_district,1011
457,Lakeview Community Schools,,,school_district,1012
458,Clearfield County Career and Technology Center,,,school_district,1013
459,Turtle Mountain Community College,"10145 BIA Road 7 | PO Box 340 | Belcourt, ND 58316 | P 701.369.6060",,school_district,1015
460,Potteville Public Schools,,,school_district,1018
461,Lakewood School Board Policies,,Twin Lakes School District #4,school_district,1022
462,Vicksburg Community Schools,,,school_district,1024
463,Mount Vernon Public Library,"28 South First Avenue | Mount Vernon, New York 10550 | (914) 668-1840",,drop,1025
464,Tipp City Exempted Village Schools,"90 S Tippecanoe Dr. | Tipp City, OH 45371 | (937) 667-8444",,school_district,1027
465,Greenwood Community School Corporation,,,school_district,1028
466,The Township of Randolph,"502 Millbrook Ave | Randolph, NJ 07869-3799 | Ph: 973.989.7100 | Fx: 973.989.7076",,drop,1030
467,Polk County Public Schools,"1915 South Floral Ave. | Bartow, FL 33830 | 863-534-0500",,school_district,1032
468,Springfield Local Schools,"11335 Youngstown-Pittsburgh Rd. |  P.O. Box 549  | New Middletown, OH 44442-9447  | Ph: (330) 542-2929",,school_district,1033
469,Pinckney Community Schools,,,school_district,1037
470,Kalkaska Public Schools,,,school_district,1038
471,Newfield Central School,"247 Main Street | Newfield, NY 14867 | (607) 564-9955",,drop,1044
472,Washington Township Public Schools,"206 E. HOLLY AVE  SEWELL, NJ 08080 | PHONE: 856-589-6644",,school_district,1045
473,Bladen County North Carolina,"P.O. Box 1048 | Elizabethtown, NC 28337 | (910) 862-6700",,school_district,1047
474,Ripley-Ohio-Dearborn Special Education Cooperative,,,school_district,1050
475,USD 306 Southeast of Saline,"5056 E. K-4 Highway • Gypsum, KS 67448 • p 785-536-4291 • f 785-536-4247",,school_district,1051
476,Esperanza Academy Charter School,"4261 N 5th St Philadelphia, PA 19140 | (267) 270-4044",,drop,1053
477,Fulton County Schools,,,school_district,1054
478,Alpena Public Schools,,,school_district,1055
479,Benton Harbor Area Schools,,,school_district,1056
480,Oxford Public Schools,"50 Great Oak Road, Suite A, Oxford, CT 06478",,school_district,1057
481,Iberville Parish Schools,"58060 Plaquemine Street | Plaquemine, LA 70764 | Ph: 225-687-4341 Fx: 225-687-5408",,school_district,1061
482,Durham Public Schools,"511 Cleveland St | PO Box 30002 Durham, NC 27702  (919) 560-2000",,school_district,1063
483,"City of Klamath Falls, Oregon","500 Klamath Avenue | Klamath Falls, OR 97601 | (541) 883-5325",,drop,1067
484,Calaveras County Office of Education,"185 S. Main Street, PO Box 760 | Angels Camp, CA 95221 | 209.736.4662 | f 209.736.2138",,school_district,1068
485,Big Bay de Noc School,,,drop,1072
486,Lafayette Elementary,"3477 School Street, Lafayette, California 94549 | (925) 927-3500",,drop,1074
487,New Albany-Plain Local Schools,"55 North High Street | New Albany, OH 43054 | 614.855.2040",,school_district,1077
488,Stephenson Area Public Schools,"Stephenson Area Public Schools | School Board Policies and Procedures | W526 Division St Stephenson, MI 49887 | Phone: 906-753-2222",,school_district,1078
489,Borough Of Chambersburg,"100 South 2nd Street Chambersburg, PA 17201 Ph: (717) 264-5151 Fx: (717) 261-0224",,school_district,1079
490,Pentwater Public Schools,,,school_district,1080
491,Oscoda Area Schools,,,school_district,1084
492,Yakima Public Schools,"104 North Fourth Avenue  |  Yakima, Washington 98902  |  (509) 573-7000",,school_district,1085
493,Clintonville Public Schools,,,school_district,1086
494,Innocademy,"8485 Homestead, Zeeland, MI 49464 Phone: 616-748-5637",,drop,1088
495,Chabot Las Positas Community College District,"7600 Dublin Blvd., 3rd Floor, Dublin, CA 94568 | (925) 485-5208",,school_district,1090
496,Braxton County Schools,"98 Carter Braxton Dr. Sutton, WV 26601 | 304-765-7101",,school_district,1098
497,Florida Virtual School,"Suite 201| 5422 Carrier Drive | Orlando, FL  32835 | Ph: 407.513.3305",,drop,1101
498,Clay Community Schools,"1013 South Forest Avenue, Brazil, IN 47834",,school_district,1102
499,Lake Geneva-Genoa City Union (Badger) High School,"208 E. South Street, Lake Geneva, WI 53147 | Phone 262-348-1000",,drop,1104
500,Little Compton School Department,"28 Commons P.O. Box 178, Little Compton, RI 02837 | 401.592.0363",,school_district,1107
501,Holt Public Schools,,,school_district,1108
502,Genoa-Kingston CUSD #424,"980 Park Ave. Genoa, IL. 60135 | 815-784-6222",,school_district,1110
503,Des Moines Public Schools,"2100 Fleur Drive | Des Moines, Iowa 50321 | (515) 242-7713",,school_district,1111
504,Pointe Coupee Parish School System,"337 Napoleon Street ● New Roads, Louisiana ● p 225-638-8674 ● f 225-638-3237",,school_district,1112
505,Concord Community Schools,59040 Minuteman Way | Elkhart IN 46517 | 574.875.5161,,school_district,1115
506,Quincy Community Schools,"One Educational Parkway Quincy, MI 49082 | 517-639-7141",,school_district,1119
507,Manhasset Public Schools NY,"200 Memorial Place Manhasset, NY 11030 | 516-267-7700",,school_district,1120
508,Hendry County School Board,"P.O. Box 1980, LaBelle, FL  33975",,school_district,1122
509,River Valley Local Schools,"197 Brocklesby Rd. | Caledonia, OH 43314 | 740-725-5400",,school_district,1130
510,Carteret County Public School System,"107 Safrit Drive | Beaufort, NC 28516 |  (252) 728-4583 |f  (252) 728-3028",,school_district,1131
511,Pandora-Gilboa Local Schools,,,school_district,1132
512,Gibraltar Area Schools,,,school_district,1136
513,BOARDDOCS,,SCHOOL DISTRICT OF KETTLE MORAINE,school_district,1139
514,Wicomico County Board of Education,"101 Long Ave. | Salisbury, MD 21802 | Ph: 410-677-4400 | Fx: 410-677-4444",,school_district,1140
515,Greenwich Public Schools,"290 Greenwich Avenue | Greenwich, CT 06830 | 203-625-7400",,school_district,1142
516,Albany Public Library NY,,,drop,1146
517,KIBSD Board of Education,,,school_district,1150
518,West Branch-Rose City Area Schools,,,school_district,1151
519,Dayton Public Schools,"136 S. Ludlow Street  Dayton, Ohio 45402  (937) 542-3080",,school_district,1152
520,Baltimore City Public Schools,200 East North Ave. | Baltimore MD 21202 | Phone: (443) 984-2000,,school_district,1153
521,Hampton City Schools,"1 Franklin Street | Hampton, Virginia | 23669",,school_district,1155
522,Mission Valley ROP,"5019 Stevenson Blvd  Fremont, CA 94538 | Phone: (510) 657-1865",,drop,1156
523,Goshen Community Schools,"613 E. Purl Street Goshen, IN 46526 574.533.8631",,school_district,1158
524,College of Marin,"835 College Avenue | Kentfield, CA 94904 | 415.457.8811",,drop,1159
525,Licking Valley Local Schools,,,school_district,1160
526,Jonesville Community Schools,,,school_district,1161
527,North Muskegon Public Schools,,,school_district,1165
528,Essex North Shore,"565 Maple Street Hathorne, MA 01937  | (978) 304-4700",,school_district,1170
529,Mifflin County Academy of Science & Technology,"700 Pitt Street Lewistown, PA 17044 | (717) 248-3933",,school_district,1171
530,The Butler Technology and Career Development Schools,,,school_district,1172
531,Jefferson College,"1000 Viking Drive | Hillsboro, MO 63050 | 636-481-3000 | 636-797-3000",,drop,1174
532,Anthony Wayne Local Schools,"9565 Bucher Rd - PO Box 2487 | Whitehouse, Ohio 43571 | 419.877.5377 | f 419.877.9352",,school_district,1178
533,City of Bridgeport,"515 W. Main St. | Bridgeport, WV 26330 | (304) 842-8200",,drop,1181
534,Seneca East Local Schools,"13343 E. US Highway 224, Attica, OH  44807",,school_district,1182
535,Policy Manual and Board Meetings,,,drop,1183
536,Delaware Area Career Center,"4565 Columbus Pike | Delaware, OH 43015 | 740-548-0708",,drop,1184
537,North Newton School Corporation,"310 S. Lincoln St., PO Box 8 | Morocco, IN 47963 | 219.285.2228 | f 219.285.2708",,school_district,1185
538,Upshur County Schools,"102 Smithfield St. | Buckhannon, WV 26201 | 304-472-5480",,school_district,1186
539,Elevate Academy,"114 W. Chicago St. Caldwell, ID 83605",,school_district,1189
540,Norwell Community Schools,"312 North Jefferson St., Ossian, IN 46777 - 260-622-4125",,school_district,1194
541,iSTEM,"1800 Mentor Avenue Painesville, OH 44077",,drop,1198
542,Chartertech High School,"413 New Road Somers Point, NJ 08244 | (609) 926-7694",,school_district,1201
543,Baldy View Regional Occupational Program,"1501 S. Bon View Avenue Ontario, CA 91761",,school_district,1202
544,Brownsburg Community School Corporation,"310 Stadium Drive Brownsburg, IN",,school_district,1203
545,Toledo Board of Education,"1609 N. Summit Street | Toledo, Ohio | 43604",,school_district,1205
546,Mt. San Antonio Community College District,"1100 N. Grand Ave. | Walnut, CA 91789 | (909) 274-7500",,school_district,1206
547,Rapides Parish School Board,"619 Sixth Street / P.O. Box 7117, Alexandria, LA 71306 | Phone 318-487-0888",,school_district,1208
548,Chillicothe City Schools,"425 Yoctangee Parkway | Chillicothe, OH 45601 | 740-775-4250",,school_district,1209
549,Home of the Bluejays!,"1111 North Sales Street, Merrill  WI  54452",,drop,1213
550,Spotsylvania County Public Schools,,,school_district,1214
551,Swanton Board of Education,108 North Main Street | Swanton Ohio 43558  | Ph: 419-826-7085 Fx: 419-825-1197,,school_district,1215
552,Warren County Public Schools,"210 North Commerce Avenue | Front Royal, VA 22630-4419 | (540) 635-2171 | f (540) 636-4195",,school_district,1216
553,Fayette County School Corporation,"1401 Spartan Drive Connersville, IN 47331 | 765.825.2178",,school_district,1217
554,Universal Learning Academy,"State of the Art Building, 28015 Joy Road, Westland, MI 48185 Phone: (734) 402-5900",,school_district,1218
555,City of Sachse,"3815-B Sachse Road Sachse, TX 75048 | 972.495.1212",,drop,1219
556,Albany-Schoharie-Schenectady-Saratoga BOCES,"900 Watervliet-Shaker Road | Albany, NY 12205 | (518) 862-4920",,school_district,1221
557,Fairfield County Educational Service Center,"955 Liberty Drive | Lancaster, OH 43130 | 740-653-3193",,school_district,1222
558,Jefferson County North USD 339,"310 5th St Winchester, KS 66097",,school_district,1226
559,Educational Service Center of the Western Reserve,"8221 Auburn Road, Concord, Ohio 44077 | Phone 440-350-2563",,school_district,1227
560,City of Brooklyn,"8000 Memphis Avenue, Brooklyn, Ohio 44144 | 216-351-2133",,drop,1228
561,Colonial Heights Public Schools,"512 Boulevard, Colonial Heights, VA 23834 | 804.524.3400",,school_district,1230
562,Northport-East Northport UFSD,"158 Laurel Avenue | Northport, New York 11768 | 631-262-6600",,school_district,1231
563,Putnam County Schools,"77 Courthouse Drive Winfield, WV 25213",,school_district,1235
564,School Board Information and Policy Manual,,Shanksville-Stonycreek School District,school_district,1236
565,Cumberland County Public Schools,"P.O. Box 170 | Cumberland, Virginia 23040 | (804) 492-4212",,school_district,1238
566,Botetourt County Public Schools,143 Poor Farm Road | Fincastle VA 24090 | Phone: 540.473.8263,,school_district,1240
567,Union-North United School Corporation,"22601 Tyler Road Lakeville, IN 46536 | 574-784-8141",,school_district,1241
568,Eastern Suffolk BOCES,"201 Sunrise Highway Patchogue, NY 11772",,school_district,1244
569,"City of Raleigh, North Carolina","222 W. Hargett St.  Raleigh, NC 27601",,drop,1245
570,Columbiana County Career and Technical Center,"9364 State Route 45 | Lisbon, OH 44432 | 330-424-9561",,drop,1246
571,Normandy Schools Collaborative,"3855 Lucas & Hunt Road | St. Louis, MO 63121 | p (314) 493-0400 | f (314) 493-0475",,school_district,1249
572,Richmond County Public Schools,"92 Walnut Street, Po Box 1507 | Warsaw, VA 22572 | 804-333-3681| f 804-333-5586",,school_district,1254
573,Salem Schools,"41 East Broadway, Salem, NY 12865 | (518) 854 -7855",,school_district,1258
574,Trenton Public Schools,"2603 Charlton Road  -  Trenton, MI 48183 - Phone 734-676-8600 - Fax 734-676-4851",,school_district,1262
575,Vancouver Public Schools,"2901 Falk Rd • Vancouver, WA 98661 • 360-313-1000",,school_district,1264
576,Markesan District Schools,,,school_district,1265
577,Worthington City Schools,"200 E. Wilson Bridge Rd.  Worthington, OH 43085",,school_district,1266
578,Goodrich Area Schools,"8029 South Gale Road, Goodrich, Michigan  48438",,school_district,1267
579,Kelloggsville Public Schools,,,school_district,1271
580,Lunenburg County Public Schools,"1009 Main St | Kenbridge, VA 23944 | 434.676.2467 | FX: 434.676.1000",,school_district,1274
581,Roanoke County Public Schools,"5937 Cove Road • Roanoke, VA 24019 • Phone: 540-562-3772 • Fax: 540-562-3993",,school_district,1276
582,Webster County Board of Education,,,school_district,1278
583,Fort Leavenworth USD 207,"207 Education Way | Fort Leavenworth, KS 66027 | Ph: 913-651-7373 Fx: 913-758-6010",,school_district,1279
584,CASMAN Alternative Academy,"225 9th Street, Manistee, MI 49660 Phone: 231-723-4981",,school_district,1283
585,"Cherryvale-Thayer Schools, USD 447","618 East 4th Street | Cherryvale, KS  67335 | 620-336-8139",,school_district,1284
586,Ohio Hi-Point Career Center,,,drop,1289
587,Margate City Board of Education,,,school_district,1290
588,Yuba Community College District,"3301 E. Onstott Road | Yuba City, CA 95991 | Ph: (530) 741-6972 |",,school_district,1291
589,Northwest Ohio Educational Service Center,,,school_district,1292
590,Zanesville Community High School,,,school_district,1297
591,Merchantville Board of Education,"130 S. Centre Street Merchantville, NJ 08109",,school_district,1298
592,Elyria City Schools,"42101 Griswold Rd. | Elyria, Ohio 44035 | (440) 284-8000",,school_district,1300
593,Golden View Classical Academy,"601 Corporate Circle, Golden, CO 80401",,school_district,1304
594,Piqua City Schools,"215 Looney Rd., Piqua, OH 45356-2411 | (937) 773-4321",,school_district,1305
595,Winchester Public Schools,"598 N. Kent Street | Winchester, VA 22601 | Ph: (540) 667-4253 | Fx: (540) 722-3583 (fax)",,school_district,1315
596,Yosemite Community College District,"2201 Blue Gum Avenue | Modesto, California 95358 | (209) 575-6509",,school_district,1316
597,Harrisonville Schools,"503 S. Lexington | Harrisonville, MO 64701 | Phone: (816) 380-2727",,school_district,1318
598,Pasadena City College,"1570 E. Colorado Blvd | Pasadena, CA 91106 | (626) 585-7123",,drop,1319
599,Massillon City Schools,"930 17th St NE | Massillon, Ohio 44646 | Ph: 330-830-3900",,school_district,1320
600,Mendocino County Office of Education,,,school_district,1322
601,Noblesville Schools,"18025 River Road  Noblesville, IN 46062 | (317) 773-3171",,school_district,1329
602,Indiana County Technology Center,,,school_district,1330
603,Mt. Healthy City Schools,,,school_district,1332
604,Greene County Public Schools,"PO Box 1140 40 Celt Road Stanardsville, VA 22973 | 434-939-9000",,school_district,1334
605,Benton Harbor Charter School Academy,"455 Riverview Drive, Benton Harbor, MI 49022  Phone: 269-925-3807",,school_district,1335
606,The Bronxville School,"177 Pondfield Road  |  Bronxville, New York 10708  |  Phone (914) 395-0500",,school_district,1336
607,Gloucester City Board of Education NJ,"1300 Market Street Gloucester City, NJ 08030",,school_district,1338
608,,"Karns City, PA  16041",,address,1343
