LEA_NAME,LEAID,STATENAME,url
Chaparral Schools,2003390,KANSAS,https://go.boarddocs.com/ca/claremont/Board.nsf/files/DB5U9D7AF2DA/$file/2024-25%20Chaparral%20SPSA%20Draft%20Info%20112124.pdf
FABIUS-POMPEY CENTRAL SCHOOL DISTRICT,3610860,NEW YORK,https://go.boarddocs.com/ny/fabius/Board.nsf/files/BV7LVT537C2C/$file/7241%20Student%20Directory%20Information.pdf
Athens City,100120,ALABAMA,https://go.boarddocs.com/oh/athcty/Board.nsf/Public
Whittemore-Prescott Area Schools,2636390,MICHIGAN,https://go.boarddocs.com/mi/wpas/Board.nsf/goto?open&id=C5JRT75DE77E
Twin Rivers Career & Tech Ed Area,1811600,INDIANA,https://go.boarddocs.com/ca/scoe/Board.nsf/files/CCYRT76E0D33/$file/CCCA%20Charter%20Petition.pdf
MONETT R-I,2921120,MISSOURI,https://go.boarddocs.com/mo/foxc6/Board.nsf/files/BRK3AL05EFF7/$file/2021-CTE-Base-Performance-Grant-Allocations.pdf
Oxford Area SD,4218300,PENNSYLVANIA,https://go.boarddocs.com/pa/oxfordasd/Board.nsf/vpublic?open
Clarksville Comm School District,1907440,IOWA,https://go.boarddocs.com/in/gccsin/Board.nsf/files/8FPK7Z/$file/Special+Session+Meeting+Minutes+01+31+2011.pdf
SUNRAY COLLEGIATE ISD,4841910,TEXAS,https://www.boarddocs.com/tx/disd/Board.nsf/files/CJQPAT63B631/$file/Joyce%20Foreman_19.A.%20Response.pdf
Lowndes County,102160,ALABAMA,https://www.boarddocs.com/fl/nassau/Board.nsf/files/AEAP2C627AAA/$file/20161013-YHS-Field%20Trip.pdf
Goodwin University Educational Services (GUES),900226,CONNECTICUT,https://go.boarddocs.com/ca/taftcity/Board.nsf/files/BH9NT5614EA1/$file/June%2019-2013%20Agenda.pdf
Vienna SD 55,1740260,ILLINOIS,https://www.boarddocs.com/vsba/fairfax/Board.nsf/files/9EGESG3BD396/$file/Proposed%20CIP%202015-19_Web.pdf
Caliber: Beta Academy District,601726,CALIFORNIA,https://www.boarddocs.com/la/apsb/Board.nsf/files/B2YMZH593E20/$file/September%2016%2C%202014.pdf
WYLIE ISD,4846500,TEXAS,https://www.boarddocs.com/tx/sachse/Board.nsf/files/CPXQX76B5E0D/$file/B2%20Don%20Whitt%20Proclamation.pdf
PUC Excel Charter Academy District,602102,CALIFORNIA,https://www.boarddocs.com/ca/rcoe/Board.nsf/files/ASR2MB80A3A4/$file/iEmpire%20Academy%20Petition%20and%20forms.Compressed.pdf
RED OAK ISD,4836660,TEXAS,https://www.boarddocs.com/tx/disd/Board.nsf/files/CBGVML78712B/$file/Walsh%20Gallegos%20Proposal_Dallas%20ISD%20Superintendent%20Search.pdf
Eatontown Public School District,3404410,NEW JERSEY,https://go.boarddocs.com/nj/howell/Board.nsf/files/CF9SKS701687/$file/OOD%20Fall%20-%202022.pdf
Sankofa Freedom Academy CS,4200816,PENNSYLVANIA,https://go.boarddocs.com/in/indps/Board.nsf/files/BMUS5870F6B4/$file/March%202020%20-%20Public%20Comment%20%5BFINAL%5D.pdf
Dixon Unified,611280,CALIFORNIA,https://go.boarddocs.com/ca/pausd/Board.nsf/files/BCWP3M61175C/$file/20190528LPAIncRFQ.pdf
MaST Community CS II,4200891,PENNSYLVANIA,https://go.boarddocs.com/mt/kalispell/Board.nsf/files/CWWVTB824194/$file/Kalispell%20Community%20Partnerships%20Charter%20School%20App.pdf
Penns Valley Area SD,4218810,PENNSYLVANIA,https://go.boarddocs.com/pa/bellasd/Board.nsf/files/CCHKAX50FDD0/$file/CPI%20roof.pdf
Leadership Academy of Utah,4900196,UTAH,https://www.boarddocs.com/ut/beaver/Board.nsf/files/AS4T3S739221/$file/Utah%20Schools%20to%20Watch%20Leadership%20Academy%202017-18.pdf
SANDOVAL ACADEMY OF BILINGUAL EDUCATION,3500172,NEW MEXICO,https://www.boarddocs.com/ca/fusd/Board.nsf/files/D3HMPG5A0002/$file/2024-03-13%20DRAFT%20Regular%20Meeting%20Minutes.pdf
NEW VISIONS CHTR HS-ADV MA/SCI III,3601088,NEW YORK,https://go.boarddocs.com/fl/palmbeach/Board.nsf/files/BT4RMJ6EA904/$file/Executive_Summary_FY21_Final.pdf
CLINTON,2909860,MISSOURI,https://go.boarddocs.com/ny/clintoncsd/Board.nsf/Public
North Stonington School District,903060,CONNECTICUT,https://go.boarddocs.com/ct/nhps/Board.nsf/files/DAHLE955FEA5/$file/FO%20Memo_PO_Dalene%20Hardwood%20Flooring_Cross%20Library%20Flooring_Ver%20JSA%2020241028.pdf
Owsley County,2104620,KENTUCKY,https://go.boarddocs.com/co/eagleco/Board.nsf/files/DB2RW86FE9FE/$file/Attachment%202%20-%20Referral%20Comments.pdf
STEM Partnership School,1701415,ILLINOIS,https://www.boarddocs.com/il/ipsd/Board.nsf/files/9FCLWG523EB8/$file/AU%20STEM%20SCHOOL.pdf
Plymouth Joint School District,5511940,WISCONSIN,https://go.boarddocs.com/wi/pjsd/Board.nsf/Public?open&id=policies
Satanta,2011400,KANSAS,https://go.boarddocs.com/ks/usd385/Board.nsf/files/D27NNC600D65/$file/Elementary%20ELA%20Instructional%20Materials%2C%20February%2012%2C%202024%20%20BOE%20Meeting.pdf
Lebanon School District,902130,CONNECTICUT,https://go.boarddocs.com/pa/mtlebanon/Board.nsf/Public
Marion County,1303540,GEORGIA,https://go.boarddocs.com/fl/marion/Board.nsf/Public
LEACH,4017310,OKLAHOMA,https://go.boarddocs.com/ca/seq/Board.nsf/files/CPZVSV8232FE/$file/SUHSD%20Superintendent%20Agreement%203.17.23%20(SR804087xD9697).pdf
North Bend SD 13,4108820,OREGON,https://go.boarddocs.com/wa/svsd410/Board.nsf/files/BLQ4M80C2E87/$file/Snoqualmie_Presentation_Updated.pdf
UA HOPE TEXARKANA TECHNICAL CENTER,500430,ARKANSAS,https://go.boarddocs.com/tx/austinisd/Board.nsf/files/B6KUKZ7A6EFD/$file/Attachment%2022%20Naming%20Committee%20Supplemental%20Documents.pdf
VERITAS Community School,3700393,NORTH CAROLINA,https://go.boarddocs.com/vsba/richmond/Board.nsf/files/D5TQNQ6A2528/$file/166385.24R000-034.468%20-%20John%20Marshall%20High%20School%20-%20Richmond%2C%20VA%20-%20FCA(Draft)%20(1).pdf
Middle Bucks Institute of Technology,4280100,PENNSYLVANIA,https://go.boarddocs.com/pa/mbit/Board.nsf/goto?open&id=B2M3BL689381
NEW YORK CITY GEOGRAPHIC DISTRICT #22,3600153,NEW YORK,https://go.boarddocs.com/nj/jcps/Board.nsf/files/C2S2BH016105/$file/Attc%204.01_1%20-%202021-2022%20Budget%20Presentation.pdf
Mastery CS-Hardy Williams,4200062,PENNSYLVANIA,https://www.boarddocs.com/ca/sccoe/Board.nsf/files/AQYLKV56BCF6/$file/KIPP%20East%20Side%20High%20School%20Charter%20Petition.pdf
Charlevoix-Emmet ISD,2680240,MICHIGAN,https://go.boarddocs.com/mi/bsdmi/Board.nsf/files/BAQL4J4E1564/$file/2018%20Board%20Member%20Awards%20Program.pdf
Rensselaer Central School Corp,1809420,INDIANA,https://go.boarddocs.com/ca/lvusd/Board.nsf/files/CWCUY47E449D/$file/Approval%20of%20Altria%20Settlement.pdf
NEW ENGLAND 9,3800027,NORTH DAKOTA,https://go.boarddocs.com/ny/brcsd/Board.nsf/files/CY9PWR66111B/$file/Class%20of%202024%20senior%20trip.pdf
Trotwood-Madison City,3904869,OHIO,https://go.boarddocs.com/oh/tmcsd/Board.nsf/Public
St. John School District,5308310,WASHINGTON,https://www.boarddocs.com/fl/stjohns/Board.nsf/Public
ORENDA CHARTER SCHOOL,4800235,TEXAS,https://go.boarddocs.com/ca/orangeusd/Board.nsf/goto?open&id=CCRUCT7B745C
Saginaw Covenant Academy,2601106,MICHIGAN,https://go.boarddocs.com/mi/scacad/Board.nsf/goto?open&id=CU4PPB652B96
Success Virtual Learning Centers of Michigan,2601104,MICHIGAN,https://go.boarddocs.com/mi/successmi/Board.nsf/Public
Waunakee Community School District,5515810,WISCONSIN,https://www.boarddocs.com/wi/spasd/Board.nsf/files/9SQNKY605B34/$file/Att.%202%20-%20The%20QTI%20Group%20Bid%20%E2%80%93%20QTI%20Consulting%20Services%20Proposal%20for%20Administrative%20Support%20Staff%20Wage%20Study.pdf
Custer County School District Consolidate 1,807200,COLORADO,https://go.boarddocs.com/mt/cpsd19/Board.nsf/files/A9FLMV5623A3/$file/05.10.10.pdf
Terry K-12 Schools,3025950,MONTANA,https://go.boarddocs.com/ut/beaver/Board.nsf/files/A2DHVX4A65DC/$file/Audit%20Testwork%20-%20Schools.pdf
HAUPPAUGE UNION FREE SCHOOL DISTRICT,3613980,NEW YORK,https://go.boarddocs.com/ny/sachem/Board.nsf/files/BFVQ3N6726FF/$file/3-20-19%20REG.pdf
Summit Public School: Shasta District,601648,CALIFORNIA,https://go.boarddocs.com/ca/sccoe/Board.nsf/files/BWXPJM5E20B2/$file/SPS%20Tahoma%20Charter%20Renewal%202021-26.pdf
Hockinson School District,5303570,WASHINGTON,https://www.boarddocs.com/wa/bgps/Board.nsf/files/C7GLNL55DEA6/$file/Interlocal%20Agreement%20-%20Legal%20Services.pdf
Valley College High District,602282,CALIFORNIA,https://go.boarddocs.com/ca/avc/Board.nsf/files/9C6PSF5BDADA/$file/AVC%20Ed%20Master%20Plan%20Complete%208-21-13.pdf
Moore County Schools,3703090,NORTH CAROLINA,https://go.boarddocs.com/fl/glad/Board.nsf/Public
McLaughlin School District 15-2,4646380,SOUTH DAKOTA,https://go.boarddocs.com/sd/mclaughlin/Board.nsf/goto?open&id=AJTV6778DEB6
Deaf and Blind Schools,3700320,NORTH CAROLINA,https://www.boarddocs.com/az/asdb/Board.nsf/files/B2J6E6769682/$file/Space%20Utilization.pdf
Summit Preparatory Charter High District,602287,CALIFORNIA,https://www.boarddocs.com/ca/seq/Board.nsf/files/B6C9VX80A495/%24file/Fall%202018%20Enrollment%20Report%20111418.pdf
Valor Preparatory Academy,3700347,NORTH CAROLINA,https://go.boarddocs.com/ca/acoe/Board.nsf/files/C6MRM86AC935/$file/Aurum%20Preparatory%20Academy%E2%80%99s%20Material%20Revision%20Request.pdf
Worth SD 127,1743380,ILLINOIS,https://www.boarddocs.com/mabe/hcpssmd/Board.nsf/files/C3CKAP50357D/$file/Written%20Testimony%2011%2006%202019.pdf
Greenwood Community Sch Corp,1804110,INDIANA,https://go.boarddocs.com/in/greenw/board.nsf/public?open&ampid=policies
EDUCATIONAL SERVICE UNIT 19,3180190,NEBRASKA,https://go.boarddocs.com/pa/neiu/Board.nsf/goto?open&id=9WSALC282EE3
Perseus House CS of Excellence,4200115,PENNSYLVANIA,https://go.boarddocs.com/pa/csoe/Board.nsf/files/CADJV84EFB5B/$file/Board%20Meeting%20Minutes%205-18-21.pdf
Southgate Independent,2105460,KENTUCKY,https://go.boarddocs.com/ca/laccd/Board.nsf/files/CXCP886352E0/$file/RFP%20Sheriff%20Contract%2021_10%20_11.pdf
GRADY,3501140,NEW MEXICO,https://go.boarddocs.com/ny/techvalleyhigh/Board.nsf/files/D9GH2K46634E/$file/ADDENDUM%20I%20-%20Tech%20Valley%20HS_2024-25%20NTN%20Renewal%20Agreement_DS%20061124%20(1).pdf
Hollis-Brookline Cooperative School District,3303850,NEW HAMPSHIRE,https://go.boarddocs.com/nh/sau41/Board.nsf/Public
Deer Park Community City,3904385,OHIO,https://go.boarddocs.com/oh/goitcd/Board.nsf/files/CN8MDN59862B/$file/Roster%20for%202023.pdf
THORNFIELD R-I,2923370,MISSOURI,https://go.boarddocs.com/mo/foxc6/Board.nsf/files/CLX4GL0B7F3E/$file/01%20MUSIC%20Member%20Map%202022.pdf
FAIRBURY PUBLIC SCHOOLS,3170440,NEBRASKA,https://go.boarddocs.com/nv/washoe/Board.nsf/files/BGQS9A6D3C6E/$file/Attachment%20E%20%E2%80%93%20McPherson%20Jacobson%20LLC%20Proposal%20for%20Washoe%20County%20School%20District.pdf
State Specialty Schools II- Liberty Tech Charter Academy,1300241,GEORGIA,https://go.boarddocs.com/vsba/loudoun/Board.nsf/files/A64MWW552BB7/$file/Final%20Document%20internet.pdf
Sebastopol Independent Charter District,602477,CALIFORNIA,https://www.boarddocs.com/ca/sccoe/Board.nsf/files/BFS2M202C44B/$file/Voices%20College-Bound%20Language%20Academies%20at%20Mount%20Pleasant%20%20renewal%20petition.pdf
NYC SPECIAL SCHOOLS - DISTRICT 75,3600135,NEW YORK,https://go.boarddocs.com/ny/pnwboces/Board.nsf/files/B8Z3QL660A5D/$file/Approved%20Minutes%207617.pdf
Northbrook/Glenview SD 30,1724420,ILLINOIS,https://go.boarddocs.com/il/nglsd30/Board.nsf/Public
VALHALLA UNION FREE SCHOOL DISTRICT,3629400,NEW YORK,https://go.boarddocs.com/ny/vufsd/Board.nsf/public
LULING ISD,4828590,TEXAS,https://go.boarddocs.com/la/scpps/Board.nsf/goto?open&id=C47STX744C69
The New Standard Academy,2601018,MICHIGAN,https://go.boarddocs.com/co/cde/Board.nsf/files/D4PP9W63524C/$file/World%20Languages%20-%202020%20Colorado%20Academic%20Standards.pdf
JENNINGS,2916290,MISSOURI,https://go.boarddocs.com/mo/jsdmo/Board.nsf/Public
HOLDENVILLE,4014790,OKLAHOMA,https://www.boarddocs.com/mo/sdclay/Board.nsf/files/AZC2QA6F99B4/$file/Certificated%20Staff%20Employment%206.6.18.pdf
JEFFERSON COUNTY JOINT DISTRICT,1601570,IDAHO,https://go.boarddocs.com/id/d251/Board.nsf/files/A6CQLY667E9B/$file/Special%20Meeting%20Notice%2001%2020%202016.pdf
Clancy Elem,3006840,MONTANA,https://go.boarddocs.com/oh/wecs/Board.nsf/files/CULM9Q597CDE/$file/August%202023%20Agenda-%20Certified.pdf
CRAWFORD ISD,4815600,TEXAS,https://www.boarddocs.com/wi/ncraw/Board.nsf/Public
Oak View Union Elementary,627930,CALIFORNIA,https://www.boarddocs.com/vsba/fairfax/Board.nsf/files/BA3TC45174C1/$file/Attachment%20Item%20278.pdf
Earlimart Elementary,611760,CALIFORNIA,https://go.boarddocs.com/ca/kccd/Board.nsf/files/B2ZNWM5C1AD5/$file/PC%20BUS%20SVS%20RATIFICATIONS%20LISTING%20FOR%20AUG%202018%20BOT%20MTG.pdf
Canton Charter Academy,2600263,MICHIGAN,https://go.boarddocs.com/ct/wilton/Board.nsf/files/CPJSSV6B5FF8/%24file/Connecticuts-Open-Choice-Program.pdf
Marlborough,2507320,MASSACHUSETTS,https://go.boarddocs.com/ma/tom/Board.nsf/files/CA6TQC787414/$file/water%20and%20sewer%20rate%20presentation%202023%2012-14-21%20Final.pdf
FAIR PLAY R-II,2911730,MISSOURI,https://go.boarddocs.com/mo/foxc6/Board.nsf/files/CLX4GL0B7F3E/$file/01%20MUSIC%20Member%20Map%202022.pdf
Riley CCSD 18,1733750,ILLINOIS,https://go.boarddocs.com/il/sd54/Board.nsf/files/CVFJMQ4DD3B0/$file/23-24%20Annual%20Posting%20Salaries.pdf
Anderson 05,4500900,SOUTH CAROLINA,https://go.boarddocs.com/ca/avusd/Board.nsf/goto?open&id=AXWVD7798028
CENTRAL VALLEY 3,3804140,NORTH DAKOTA,https://go.boarddocs.com/wa/cvsd/Board.nsf/files/D6JSZT7526EC/$file/Board%202024-2025%20Budget%20Packet%20062424%20Revised.pdf
Stockbridge Community Schools,2633030,MICHIGAN,https://go.boarddocs.com/mi/stockbridge/Board.nsf/Public
South Hampton School District,3306270,NEW HAMPSHIRE,https://go.boarddocs.com/ny/shufsd/Board.nsf/Public
NORTH IDAHO STEM CHARTER ACADEMY INC.,1600160,IDAHO,https://go.boarddocs.com/id/pcsd25/Board.nsf/files/CN9SDR6FC21E/$file/RESIN%20Architecture%20Proposal.pdf
KIPP Adelante Preparatory Academy District,601576,CALIFORNIA,"https://go.boarddocs.com/ca/sandi/Board.nsf/legacy-content/85B65W0C4C5F/$FILE/Prop%2039%20Preliminary%20Proposals%20for%202010-11,%201-26-10.pdf"
WAY Academy - Flint,2601056,MICHIGAN,https://go.boarddocs.com/mi/wayflint/Board.nsf/Public
BAYPORT-BLUE POINT UNION FREE SCHOOL DISTRICT,3604110,NEW YORK,https://go.boarddocs.com/ny/bbps/Board.nsf/files/C6UJZ54F60BC/$file/CARE%20DRAFT-%20Policy%200105%20Diversity%20Equity%20and%20Inclusivity%20%20in%20Education%20final.pdf
Pryor Elem,3021720,MONTANA,https://go.boarddocs.com/ok/pisd1/Board.nsf/Public
River Islands High District,602574,CALIFORNIA,https://go.boarddocs.com/sc/beau/Board.nsf/files/C3F63L12F982/$file/6.1.2021%20ISD%20Summer%20Programs%20PPT.pdf
HIGH PLAINS TECH,4000096,OKLAHOMA,https://go.boarddocs.com/wy/fcsd14/Board.nsf/files/BXWS3E704524/$file/Detailed%20Board%20Report.pdf
Everest Value District,602085,CALIFORNIA,https://go.boarddocs.com/wi/dcea/Board.nsf/goto?open&id=B2UQQ86973A3
Rome CCSD 2,1734590,ILLINOIS,https://go.boarddocs.com/il/besd61/Board.nsf/files/ATZKAW507A09/$file/Board%20Self%20Evaluation.pdf
Educational Service District 101,5300010,WASHINGTON,https://go.boarddocs.com/il/bps101/Board.nsf/files/BAENQF59BF52/$file/Attachment%20A.pdf
La Salle ESD 122,1722080,ILLINOIS,https://www.boarddocs.com/ca/sandi/Board.nsf/files/AHWMSA5C6721/$file/MFD%20County%20of%20Fairfax.%20VA%20RFP.%20RFP2000000264.pdf
New Heights Charter School of Brockton (District),2500559,MASSACHUSETTS,https://go.boarddocs.com/ut/canyons/Board.nsf/files/CPKUNE7CD9EB/$file/AASPA-5_Shifts%20Final%20Report.pdf
Henry School District 14-2,4632340,SOUTH DAKOTA,https://go.boarddocs.com/ny/nfcsd/Board.nsf/files/A7E55N00A798/$file/4.08%20CSE%20RptResolRecomm%20'15-16%20%20022516.pdf
CROOKED OAK,4009060,OKLAHOMA,https://go.boarddocs.com/sd/meade/Board.nsf/files/CQEKT452947D/$file/2023%20Non-Ag%20Intentions.pdf
Mount Horeb Area School District,5509990,WISCONSIN,https://go.boarddocs.com/wi/mhasd/Board.nsf/files/BULNJ2600B72/$file/411%20Title%20IX%20Update%2010-19-2020.pdf
RAMIREZ CSD,4836420,TEXAS,https://go.boarddocs.com/ny/ellenville/Board.nsf/Public
Baker Valley Unified,603610,CALIFORNIA,https://go.boarddocs.com/wa/ferndale/Board.nsf/files/D3YP9G61A2F5/$file/2324-155_Title_I_InterLocal.pdf
Chester County Technical College High School,4202900,PENNSYLVANIA,https://go.boarddocs.com/pa/iu24/Board.nsf/files/BZ7SMX7297E5/$file/Policy%20115.1_TCHS%20ADMISSIONS_Revised.pdf
Bacon County,1300150,GEORGIA,https://go.boarddocs.com/co/cde/Board.nsf/files/C89RE46D75CA/$file/6.7%20HB%2021-1200.pdf
Ellis,2005850,KANSAS,https://go.boarddocs.com/ks/usd388/Board.nsf/Public
Mountain Discovery Charter School,3700129,NORTH CAROLINA,https://www.boarddocs.com/ca/sccoe/Board.nsf/files/BQ6QB3687191/$file/2020%20Charter%20Schools%20Data%20Book.pdf
Lake Valley Navajo School,5900125,BUREAU OF INDIAN EDUCATION,https://go.boarddocs.com/ut/sjsd/Board.nsf/files/9J4FF3797C6E/$file/Monument%20Valley%20Wastewater%20System%20Correspondence%202014.pdf
Lewistown Elem,3016490,MONTANA,https://www.boarddocs.com/mabe/fcps/Board.nsf/files/CEZJ3649017E/$file/06.08.22%20RFQ%2021MISC3%2C%20Security%20Vestibules%20for%20LES%2C%20LiES%20and%20WoES_backup.pdf
ELDRED CENTRAL SCHOOL DISTRICT,3610410,NEW YORK,https://go.boarddocs.com/ny/eldred/Board.nsf/Public
Achieve Academy District,602165,CALIFORNIA,https://go.boarddocs.com/nj/nplainfield/Board.nsf/files/D87J3H4AC71C/$file/NJDOE%20Press%20Release%20-%20Promising%20Practices%20Project.pdf
Young Elementary District (4213),409540,ARIZONA,https://go.boarddocs.com/oh/ross/Board.nsf/goto?open&id=AU8LU84EF349
Laton Joint Unified,621150,CALIFORNIA,https://go.boarddocs.com/ca/mjusd/Board.nsf/files/CQZ4EG0B314A/$file/DRAFT-%20Marysville%20USD%20Overview%20April%202023%20(1).pdf
Dallas ESD 327,1701388,ILLINOIS,https://go.boarddocs.com/wa/edmonds/Board.nsf/files/C6GT2H74DF55/$file/AGENDApacket__01-29-19_1411_438.pdf
CLINTON SCHOOL DISTRICT,504410,ARKANSAS,https://go.boarddocs.com/ny/clintoncsd/Board.nsf/Public
LONG LAKE CENTRAL SCHOOL DISTRICT,3617760,NEW YORK,https://go.boarddocs.com/ny/tlcsd/Board.nsf/goto?open&id=AWEU6Y76D9DF
Port Republic School District,3413380,NEW JERSEY,https://go.boarddocs.com/nj/eht/Board.nsf/Public
Forsyth Elem,3011160,MONTANA,https://go.boarddocs.com/ga/maconbibb/Board.nsf/files/BGEGS54526DD/$file/10-1-2019%20-%202019%20Wynn%20Establishing%20School%20Zone%20in%20Front%20of%20ACE%20(Committee%20Amendment).pdf
Southern Wells Com Schools,1810770,INDIANA,https://www.boarddocs.com/in/swcs/Board.nsf/Public
Windsor School District,3307200,NEW HAMPSHIRE,https://go.boarddocs.com/ca/windsorusd/Board.nsf/Public
Bronson Community School District,2606960,MICHIGAN,https://go.boarddocs.com/mi/bron/Board.nsf/Public?open&id=policies
San Juan BOCES AU,800253,COLORADO,https://go.boarddocs.com/co/asdco/Board.nsf/files/9F68NH7FF8E2/$file/Archuleta%20School%20District%202013-2014%20UIP.doc
GOSNELL SCHOOL DISTRICT,500029,ARKANSAS,https://go.boarddocs.com/pa/nwrn/Board.nsf/files/CQBLDK560F2C/$file/2022-4-19%20Board%20Meeting%20Minutes.pdf
Stewart County,1304590,GEORGIA,"https://go.boarddocs.com/tn/franklin/Board.nsf/files/88QS49/$file/August+5,+2010+Minutes.pdf"
Kentfield Elementary,619380,CALIFORNIA,https://go.boarddocs.com/ca/marin/Board.nsf/goto?open=&id=BHQR4D692027
COMMERCE,4008490,OKLAHOMA,https://go.boarddocs.com/il/coc/Board.nsf/files/CZ7NMJ609B24/$file/4.%20EDA%20Construction%20STCs%20(Mar%2022%202021)%20(w%20Part%20III%20DOC%20STCs).pdf
Bay-Arenac Community High School,2600067,MICHIGAN,https://go.boarddocs.com/mi/bachs/Board.nsf/Public
MicroSociety Academy Charter School Foundation,3303302,NEW HAMPSHIRE,https://go.boarddocs.com/la/bese/Board.nsf/files/BKTLD656006C/$file/Fall%202019%20Reading%20Report%20FINAL.pdf
Henry County Public Schools,5101920,VIRGINIA,https://go.boarddocs.com/vsba/hcps/Board.nsf/Public
NEWTOWN-HARRIS R-III,2922470,MISSOURI,https://go.boarddocs.com/mo/foxc6/Board.nsf/files/CLX4GL0B7F3E/$file/01%20MUSIC%20Member%20Map%202022.pdf
VALLEY DISTRICT,1603270,IDAHO,https://go.boarddocs.com/pa/gvsd/Board.nsf/goto?open&id=BZ2MZY5B26FE
LEVERETTS CHAPEL ISD,4827270,TEXAS,https://www.boarddocs.com/tx/disd/Board.nsf/files/CJQPAT63B631/$file/Joyce%20Foreman_19.A.%20Response.pdf
Martinez Unified,624030,CALIFORNIA,https://www.boarddocs.com/ca/cccoe/Board.nsf/files/AW9TN5729E53/$file/Minutes%20February%2012%2C%202018%20.pdf
KIPP Indy Unite Elementary,1800147,INDIANA,https://www.boarddocs.com/in/indps/Board.nsf/files/ABELRE56825F/$file/KIPP%20Innovation%20School%20EOY%20Report%20-%20June%202016.pdf
Nye Elem,3019530,MONTANA,https://www.boarddocs.com/ca/sandi/Board.nsf/files/A4DRWU6F65A5/$file/UC%20Cluster%20Elem%20Boundary%20Changes%20and%20Lincoln%20Cluster%20Articulation%20Change.pdf
FORT ANN CENTRAL SCHOOL DISTRICT,3611280,NEW YORK,https://go.boarddocs.com/ny/carle/Board.nsf/files/D8HMUT5CFBC8/$file/2023-11-09%20Board%20of%20Education%20-%20Public%20Agenda-1698.pdf
Franklin Public School District,5504830,WISCONSIN,https://go.boarddocs.com/wi/fpsd/Board.nsf/Public
Russia Local,3904981,OHIO,https://www.boarddocs.com/oh/russ/Board.nsf/Public?open&id=policies
Union-Scioto Local,3904953,OHIO,https://www.boarddocs.com/oh/plsd/Board.nsf/files/9Y95YT7795A0/$file/Milk%20and%20Bread%2015-16%20Bids.pdf
Dennis Township School District,3403840,NEW JERSEY,https://go.boarddocs.com/nj/dtschools/Board.nsf/goto?open&id=CM3LXU586D7C
Orangeburg 80,4500008,SOUTH CAROLINA,https://go.boarddocs.com/ga/fcss/Board.nsf/files/9QE5ZN6053C4/$file/November%202014%20No%20Instructional%20Time%20Missed%20-%20District%20Final.pdf
Allendale Public School District,3400750,NEW JERSEY,https://go.boarddocs.com/sc/acs/Board.nsf/Public
Da Vinci Connect District,602293,CALIFORNIA,https://go.boarddocs.com/co/cde/Board.nsf/files/C89RCV6D5C87/$file/1.3%20Dance%20-%202020%20Colorado%20Academic%20Standards.pdf
Somers School District,904140,CONNECTICUT,https://go.boarddocs.com/nj/sptsd/Board.nsf/Public
Red River Charter Academy,2200308,LOUISIANA,https://go.boarddocs.com/la/bese/Board.nsf/goto?open&id=CL6QX26B5C02
Rogersville,4703660,TENNESSEE,https://go.boarddocs.com/mo/sps/Board.nsf/files/BBYAPN771F37/$file/Sale%20of%20Bonds%20Presentation%20-%2005.07.19.pdf
Pemberton Township School District,3412810,NEW JERSEY,https://go.boarddocs.com/nj/pts/Board.nsf/files/CSKJ5R4AD9E1/$file/Robokind%20Contract.pdf
Milton School District,5005610,VERMONT,https://go.boarddocs.com/wi/mil/Board.nsf/Public?open&id=policies
Luis Valdez Leadership Academy District,602038,CALIFORNIA,https://go.boarddocs.com/ca/esuhsd/Board.nsf/files/BERVF780789F/$file/LVLA_MaterialRevision_Core%20Petition%208.15.19.pdf
KELLOGG JOINT DISTRICT,1601650,IDAHO,https://go.boarddocs.com/mi/aaps/Board.nsf/files/D8AR4X6C36EC/$file/CM%20BOE%20Recommendation%20Attachment.pdf
EAST RANGE SEC. TECHNICAL CENTER,2700034,MINNESOTA,https://go.boarddocs.com/id/csd132/Board.nsf/files/CL7677138083/$file/Policy%201105%20Caldwell%20School%20District%20Trustee%20Zones%2011%2014%202022%20Correction.pdf
Owendale-Gagetown Area School District,2627180,MICHIGAN,https://go.boarddocs.com/ca/lvusd/Board.nsf/files/CWCUY47E449D/$file/Approval%20of%20Altria%20Settlement.pdf
Saginaw Preparatory Academy,2600161,MICHIGAN,https://go.boarddocs.com/co/cde/Board.nsf/files/CNN76K18188B/$file/Resubmission%20Appendices.pdf
CRAWFORD CO. R-II,2910410,MISSOURI,https://go.boarddocs.com/mo/foxc6/Board.nsf/files/CLX4GL0B7F3E/$file/01%20MUSIC%20Member%20Map%202022.pdf
Willits Elementary Charter District,601497,CALIFORNIA,https://www.boarddocs.com/pa/mechpa/Board.nsf/legacy-content/86TPXJ53075D/$FILE/Staff%20Changes%20061008%20_PC.pdf
Middlesex County Public Schools,5102490,VIRGINIA,https://go.boarddocs.com/vsba/mcpsk12/Board.nsf/vpublic?open
Rocky Ridge Boarding School,5900089,BUREAU OF INDIAN EDUCATION,https://go.boarddocs.com/vsba/scpsva/Board.nsf/files/C3ST5D731276/$file/2021%20Capacity%20Challenges%20-%20Presentation%20to%20School%20Board%20(06-08-21).pdf
Winn Parish,2202010,LOUISIANA,https://go.boarddocs.com/la/bese/Board.nsf/c4cf1644198dfd9986257503000d636f/d38d9df51855d9b68525840a00741add/$FILE/SAC_Agenda_0619.pdf
Liberty Traditional Charter School (10968),400190,ARIZONA,https://go.boarddocs.com/co/d49/Board.nsf/files/BRAUAC782D18/$file/190123%20Work%20Session%20Packet.pdf
